Water Intake (L),Sleep Hours,Exercise,Diet,Hashtags
2.8,7,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.6,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
3.3,6,None,Balanced,#NeedExercise
2.6,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
2.3,5,None,Healthy,"#Sleep,#NeedExercise"
3.4,7,Intense,Balanced,#Workout
1.4,8,Intense,Healthy,"#Dehydration,#Workout"
1.7,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.7,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.1,6,Intense,Healthy,#Workout
1.5,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
2.8,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.0,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
1.1,5,None,Unhealthy,"#Dehydration,#Sleep,#NeedExercise,#BetterDiet"
2.2,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
3.5,5,Moderate,Healthy,"#Sleep,#Fitness"
1.2,6,None,Balanced,"#Dehydration,#NeedExercise"
1.8,7,Light,Balanced,#ActiveLifestyle
2.4,8,Moderate,Healthy,#Fitness
3.5,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.5,4,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.0,4,Intense,Balanced,"#Sleep,#Workout"
2.9,7,None,Balanced,#NeedExercise
3.3,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
2.5,6,Intense,Balanced,#Workout
1.7,8,Intense,Balanced,#Workout
2.9,4,Intense,Balanced,"#Sleep,#Workout"
3.1,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
2.3,5,Intense,Balanced,"#Sleep,#Workout"
1.2,9,None,Unhealthy,"#Dehydration,#NeedExercise,#BetterDiet"
3.8,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.1,5,Intense,Balanced,"#Sleep,#Workout"
2.1,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
2.9,7,Light,Healthy,#ActiveLifestyle
2.0,6,Moderate,Healthy,#Fitness
3.2,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.6,8,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.2,8,Moderate,Balanced,"#Dehydration,#Fitness"
3.3,6,Intense,Healthy,#Workout
3.0,7,Moderate,Healthy,#Fitness
3.6,6,Intense,Balanced,#Workout
3.2,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.4,4,Light,Unhealthy,"#Dehydration,#Sleep,#ActiveLifestyle,#BetterDiet"
3.5,9,None,Balanced,#NeedExercise
1.4,7,None,Balanced,"#Dehydration,#NeedExercise"
1.3,6,Moderate,Balanced,"#Dehydration,#Fitness"
3.0,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.8,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.3,4,Intense,Balanced,"#Sleep,#Workout"
1.4,7,None,Unhealthy,"#Dehydration,#NeedExercise,#BetterDiet"
1.6,5,Intense,Healthy,"#Sleep,#Workout"
1.2,4,Light,Unhealthy,"#Dehydration,#Sleep,#ActiveLifestyle,#BetterDiet"
1.4,9,Intense,Balanced,"#Dehydration,#Workout"
3.1,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.1,9,Light,Healthy,#ActiveLifestyle
2.7,6,Moderate,Healthy,#Fitness
1.4,4,Intense,Healthy,"#Dehydration,#Sleep,#Workout"
2.0,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.0,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
1.4,7,None,Balanced,"#Dehydration,#NeedExercise"
1.2,6,Intense,Balanced,"#Dehydration,#Workout"
3.6,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.6,4,Intense,Balanced,"#Sleep,#Workout"
1.6,8,Intense,Healthy,#Workout
1.5,8,Moderate,Healthy,#Fitness
2.5,4,Moderate,Healthy,"#Sleep,#Fitness"
2.4,6,Moderate,Healthy,#Fitness
2.3,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.5,6,Intense,Unhealthy,"#Workout,#BetterDiet"
2.5,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.3,7,None,Unhealthy,"#Dehydration,#NeedExercise,#BetterDiet"
